Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RunTestAll,Chrome 85.0.4183.83,,,2020-12-07 11:08:59,2020-12-07 11:20:31,11m - 32.680s,FAILED
,,,,,,,
Test Cases/JFL-135/JFL_135_CheckNameIsDuplicate,Chrome 85.0.4183.83,,,2020-12-07 11:08:59,2020-12-07 11:09:09,10.220s,PASSED
try,Chrome 85.0.4183.83,,,2020-12-07 11:08:59,2020-12-07 11:09:09,9.819s,PASSED
,,,,,,,
Test Cases/JFL-136/HKJFL_136_CheckPaymentIsDuplicate,Chrome 85.0.4183.83,,,2020-12-07 11:09:09,2020-12-07 11:09:19,9.571s,PASSED
"openBrowser("""")",Chrome 85.0.4183.83,,,2020-12-07 11:09:09,2020-12-07 11:09:13,4.024s,PASSED
driver = getWebDriver(),Chrome 85.0.4183.83,,,2020-12-07 11:09:13,2020-12-07 11:09:13,0.001s,PASSED
"navigateToUrl(""http://localhost/ezactivevn/hkjfl/admin/login.html"")",Chrome 85.0.4183.83,,,2020-12-07 11:09:13,2020-12-07 11:09:14,0.241s,PASSED
"setText(findTestObject(""Object Repository/HKJFL_136/Page_HKJFL - Login/input_Sign up_email""), email)",Chrome 85.0.4183.83,,,2020-12-07 11:09:14,2020-12-07 11:09:15,0.835s,PASSED
"setEncryptedText(findTestObject(""Object Repository/HKJFL_136/Page_HKJFL - Login/input_Sign up_password""), password)",Chrome 85.0.4183.83,,,2020-12-07 11:09:15,2020-12-07 11:09:15,0.366s,PASSED
"click(findTestObject(""Object Repository/HKJFL_136/Page_HKJFL - Login/button_Login""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:15,2020-12-07 11:09:15,0.317s,PASSED
"click(findTestObject(""Object Repository/HKJFL_136/Page_Dashboard  Hong Kong Junior Football League/a_Payments""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:15,2020-12-07 11:09:16,1.032s,PASSED
"click(findTestObject(""Object Repository/HKJFL_136/Page_Dashboard  Hong Kong Junior Football League/a_2019-2020""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:16,2020-12-07 11:09:17,0.701s,PASSED
"com.database.DemoMySql.connectDB(""localhost"", dbName, ""3306"", ""root"", """")",Chrome 85.0.4183.83,,,2020-12-07 11:09:17,2020-12-07 11:09:17,0.006s,PASSED
"rs = com.database.DemoMySql.executeQuery(""SELECT id FROM users WHERE username='wilfred@ezactive.com'"")",Chrome 85.0.4183.83,,,2020-12-07 11:09:17,2020-12-07 11:09:17,0.003s,PASSED
"x = """"",Chrome 85.0.4183.83,,,2020-12-07 11:09:17,2020-12-07 11:09:17,0.001s,PASSED
while (rs.next()),Chrome 85.0.4183.83,,,2020-12-07 11:09:17,2020-12-07 11:09:17,0.001s,PASSED
"rs1 = com.database.DemoMySql.executeQuery(""SELECT clubs.id, clubs.name ,users.id FROM clubs JOIN club_managers ON clubs.id=club_managers.club_id JOIN parens ON parens.id=club_managers.manager_id AND type='Club Manager' JOIN users ON parens.id=users.person_id WHERE users.id="" + x)",Chrome 85.0.4183.83,,,2020-12-07 11:09:17,2020-12-07 11:09:17,0.002s,PASSED
while (rs1.next()),Chrome 85.0.4183.83,,,2020-12-07 11:09:17,2020-12-07 11:09:17,0.002s,PASSED
"s = ""SELECT * FROM( SELECT CONCAT(players.other_name,' ',players.surname)as name,players.id,club_players.club_id FROM club_players JOIN players ON players.id=club_players.player_id JOIN registrations on registrations.player_id=players.id WHERE (registrations.event_id=2) INTERSECT  (SELECT CONCAT(players.other_name,' ',players.surname)as name,players.id,club_players.club_id FROM club_players JOIN players ON players.id=club_players.player_id JOIN registrations on registrations.player_id=players.id WHERE (registrations.event_id=1)))a WHERE a.club_id in (SELECT id from clubs WHERE name='"" + x + ""')""",Chrome 85.0.4183.83,,,2020-12-07 11:09:17,2020-12-07 11:09:17,0.001s,PASSED
rs = com.database.DemoMySql.executeQuery(s.toString()),Chrome 85.0.4183.83,,,2020-12-07 11:09:17,2020-12-07 11:09:17,0.051s,PASSED
"x = """"",Chrome 85.0.4183.83,,,2020-12-07 11:09:17,2020-12-07 11:09:17,0.000s,PASSED
while (rs.next()),Chrome 85.0.4183.83,,,2020-12-07 11:09:17,2020-12-07 11:09:17,0.003s,PASSED
com.database.DemoMySql.closeDatabaseConnection(),Chrome 85.0.4183.83,,,2020-12-07 11:09:17,2020-12-07 11:09:17,0.001s,PASSED
